entno,corpname,code,crno
00165060,하이록코리아,013030,1801110029321
00390055,종근당바이오,063160,1101112373308
00545716,롯데렌탈,089860,1101113326588
00767460,PI첨단소재,178920,1543110022729
00972503,일진하이솔루스,271940,2101110086548
01093007,LS전선아시아,229640,1341110411706
01011872,엔에스엠,238170,1348110201038
00113207,대한전선,001440,1101110035835
00134176,세우글로벌,013000,1101110227177
01047415,정다운,208140,1101115542497
01205842,HD현대건설기계,267270,1101116363868
01205514,큐라켐,456190,1244110096794
00141626,오리엔트바이오,002630,1101110030116
01258507,롯데웰푸드,280360,1101116536481
01423837,모아데이타,288980,1101115373933
00571298,덕우전자,263600,1760110006963
00152729,광전자,017900,2149110002560
00765569,기가비스,420770,1345110078029
00446479,신비앤텍,070480,1615110036545
01383229,저스템,417840,1101116042066
00442631,태양기계,116100,1348110014126
00920379,티엘비,356860,1314110255979
00105165,극동전선,006250,1152110000609
00375931,인선이엔티,060150,1159110017303
00109824,대림통상,006570,1101110021678
00113128,대한약품,023910,1101110080484
00149594,한국캐피탈,023760,1601110019277
00132637,동원시스템즈,014820,1341110011712
00170026,시공테크,020710,1101110562896
00155355,풀무원,017810,1101110375439
00249894,테라젠이텍스,066700,1101110724107
00607797,엄지하우스,224810,1101110427074
01187865,앙츠,267810,1101115730810
01765256,동국씨엠,460850,1101118651659
00208444,피에스케이홀딩스,031980,1347110004377
00161860,한성기업,003680,1801110000230
01062177,제놀루션,225220,1101113403972
01237540,이녹스첨단소재,272290,1648110105010
01596656,메쎄이상,408920,1101118073613
00939942,포시에스,189690,1101113940221
00180865,에스유홀딩스,031860,1101110260218
00187415,코미팜,041960,1101110134372
00199252,HLB,028300,1701110021600
00378220,버킷스튜디오,066410,1101111646889
00158316,NICE,034310,1101110505614
00163673,한진중공업홀딩스,003480,1101110110083
01182578,대유에이피,290120,2101110118854
00155276,포스코퓨처엠,003670,1746110001947
00447609,비에이치,090460,1350110087483
00106119,금양,001570,1801110003101
00108940,대성홀딩스,016710,1701110017237
00445869,유니포인트,121060,1101111351660
00155319,POSCO홀딩스,005490,1746110000741
00144720,와이투솔루션,011690,1101110204498
01722437,한화갤러리아,452260,1101118570891
00617314,타이거일렉,219130,1201110228610
00416414,넥스턴바이오,089140,1345110042264
